id,created_at,created_by_id,question,answer
79de20ab-2947-46f9-af10-26199321ad4d,2024-12-01 19:02:22.517892+00,USiy5BO4Iqf3qGkP1iuKS94dJpg1,Where did you first hear about Wondercraft?,"Social media (LinkedIn, X, Threads, TikTok or Instagram)"
79e66645-11cb-4d6d-b61c-14775c1e6eeb,2024-12-06 22:10:30.921012+00,AFbADcWg9gQBRE0YR5lPDZkVI1x2,Where did you first hear about Wondercraft?,"Search engines (Google, Yahoo, Bing, etc)"
79e87b87-f360-4b67-9380-961c83433b67,2024-12-07 18:49:00.591626+00,6oBsd64sUohi2ujASqLiyXBXsch1,What are you looking to create?,Ads
79ec0beb-ba9a-4caf-af4b-2976de8ca3bf,2024-12-08 22:25:56.208569+00,Xqgfz1Ca4kXszbP2Rrbe6ZCWAxQ2,Where did you first hear about Wondercraft?,"Social media (LinkedIn, X, Threads, TikTok or Instagram)"
79efdec3-4644-46b7-8e6b-9fb91ab8a169,2024-12-10 22:06:42.419762+00,Z0TMW9k3wbYDnnTwVEzxEmR0kz03,Which of the following best describes you?,Podcaster/Audio Content Creator
79f5c792-3214-4b94-8154-541f6350ab5a,2024-11-29 05:37:44.574788+00,7mgTQpW9dCMKH8SO7YBK0CFwL8n2,Which of the following best describes you?,Content Creator/Influencer
79f6f499-0cfe-4984-959c-ef5721337bd4,2024-12-08 10:33:24.183383+00,vxPHPGZdBVTMw3b0Y0RDnRWdODC3,Which of the following best describes you?,Entrepreneur/Business Owner
79f742eb-e519-4fc8-a68e-4aef202f302a,2024-12-11 17:07:54.927231+00,zodZ9mZhice8RVBw6iCOV9r8k7y2,Where did you first hear about Wondercraft?,"Search engines (Google, Yahoo, Bing, etc)"
79f9a222-b1bb-4fc9-ba02-cf14099f59fa,2024-12-01 06:18:16.488372+00,W2J0fmrWouU9P3XwkWmpiJZU5242,Which of the following best describes you?,Content Creator/Influencer
79fe931b-625d-4930-b2ba-d4d09f35fe30,2024-12-03 22:32:56.440071+00,gPk3Iv3F0WP3NaizHGvbCkAwply1,Which of the following best describes you?,Student
